Plot,Subplot,Date,Exposure,Openness
CTE,B4-S3,27-Oct-17,EV0,0.461421685
CTE,B4-S4,27-Oct-17,EV-2,0.24925305
CTE,B4-S4,27-Oct-17,EV-4,0.166867863
CTE,B4-S4,27-Oct-17,EV0,0.445828281
CTE,B4-S5,27-Oct-17,EV-2,0.416745989
CTE,B4-S5,27-Oct-17,EV-4,0.347473956
CTE,B4-S5,27-Oct-17,EV0,0.539913554
CTE,C1-1,30-Oct-17,EV-2,0.564066742
CTE,C1-1,30-Oct-17,EV-4,0.512188826
CTE,C1-1,30-Oct-17,EV0,0.720289625
CTE,C1-13,30-Oct-17,EV-2,0.543121292
CTE,C1-13,30-Oct-17,EV-4,0.487088881
CTE,C1-13,30-Oct-17,EV0,0.736434203
CTE,C1-16,30-Oct-17,EV-2,0.560437946
CTE,C1-16,30-Oct-17,EV-4,0.491372042
CTE,C1-16,30-Oct-17,EV0,0.714943032
CTE,C1-4,30-Oct-17,EV-2,0.403699714
CTE,C1-4,30-Oct-17,EV-4,0.299576919
CTE,C1-4,30-Oct-17,EV0,0.620659452
CTE,C1-m,30-Oct-17,EV-2,0.527400726
CTE,C1-m,30-Oct-17,EV-4,0.43365074
CTE,C1-m,30-Oct-17,EV0,0.705036886
CTE,C1-s1,30-Oct-17,EV-2,0.669993931
CTE,C1-s1,30-Oct-17,EV-4,0.600899281
CTE,C1-s1,30-Oct-17,EV0,0.824511538
CTE,C1-s2,30-Oct-17,EV-2,0.480233809
CTE,C1-s2,30-Oct-17,EV-4,0.360082341
CTE,C1-s2,30-Oct-17,EV0,0.762908053
CTE,C1-s3,30-Oct-17,EV-2,0.656029125
CTE,C1-s3,30-Oct-17,EV-4,0.558816806
CTE,C1-s3,30-Oct-17,EV0,0.83592405
CTE,C1-s4,30-Oct-17,EV-2,0.504166002
CTE,C1-s4,30-Oct-17,EV-4,0.407126584
CTE,C1-s4,30-Oct-17,EV0,0.734832381
CTE,C1-s5,30-Oct-17,EV-2,0.549442992
CTE,C1-s5,30-Oct-17,EV-4,0.481576078
CTE,C1-s5,30-Oct-17,EV0,0.735740249
CTE,C2-1,1-Nov-17,EV-2,0.38229243
CTE,C2-1,1-Nov-17,EV-4,0.313315167
CTE,C2-1,1-Nov-17,EV0,0.597417977
CTE,C2-13,31-Oct-17,EV-2,0.746619008
CTE,C2-13,31-Oct-17,EV-4,0.718083469
CTE,C2-13,31-Oct-17,EV0,0.829042926
CTE,C2-16,31-Oct-17,EV-2,0.522288345
CTE,C2-16,31-Oct-17,EV-4,0.406390248
CTE,C2-16,31-Oct-17,EV0,0.781044653
CTE,C2-4,31-Oct-17,EV-2,0.435537222
CTE,C2-4,31-Oct-17,EV-4,0.368619786
CTE,C2-4,31-Oct-17,EV0,0.614878148
CTE,C2-m,1-Nov-17,EV-2,0.328856478
CTE,C2-m,1-Nov-17,EV-4,0.278264406
CTE,C2-m,1-Nov-17,EV0,0.481289358
CTE,C2-s1,31-Oct-17,EV-2,0.541664965
CTE,C2-s1,31-Oct-17,EV-4,0.453782905
CTE,C2-s1,31-Oct-17,EV0,0.766137357
CTE,C2-s2,31-Oct-17,EV-2,0.527526984
CTE,C2-s2,31-Oct-17,EV-4,0.468480788
CTE,C2-s2,31-Oct-17,EV0,0.723937325
CTE,C2-s3,31-Oct-17,EV-2,0.459248061
CTE,C2-s3,31-Oct-17,EV-4,0.390253587
CTE,C2-s3,31-Oct-17,EV0,0.696700338
CTE,C2-s4,31-Oct-17,EV-2,0.684026484
CTE,C2-s4,31-Oct-17,EV-4,0.638892017
CTE,C2-s4,31-Oct-17,EV0,0.769955378
CTE,C2-s5,31-Oct-17,EV-2,0.4610428
CTE,C2-s5,31-Oct-17,EV-4,0.40774482
CTE,C2-s5,31-Oct-17,EV0,0.623207514
CTE,C3-1,2-Nov-17,EV-2,0.691304537
CTE,C3-1,2-Nov-17,EV-4,0.622454083
CTE,C3-1,2-Nov-17,EV0,0.860208932
CTE,C3-13,2-Nov-17,EV-2,0.674080256
CTE,C3-13,2-Nov-17,EV-4,0.623644536
CTE,C3-13,2-Nov-17,EV0,0.794380273
CTE,C3-16,2-Nov-17,EV-2,0.418939729
CTE,C3-16,2-Nov-17,EV-4,0.341696036
CTE,C3-16,2-Nov-17,EV0,0.606656751
CTE,C3-4,2-Nov-17,EV-2,0.585447248
CTE,C3-4,2-Nov-17,EV-4,0.548813452
CTE,C3-4,2-Nov-17,EV0,0.729688863
CTE,C3-m,2-Nov-17,EV-2,0.462695904
CTE,C3-m,2-Nov-17,EV-4,0.384270787
